line_number,raw_text,clean_text,confidence
1,الجمهورية العربية السورية,الجمهورية العربية السورية,0.8125
2,المنطقة : صافيتا,المنطقة صافيتا,0.5839
3,وزارة الري,وزارة الري,0.9977
4,صافيتا,صافيتا,0.9436
5,الناحية,الناحية,0.9423
6,الهيئة العامة للموارد المائية,الهيية العامة للموارد المايية,0.7357
7,اليازدية,اليازدية,0.8358
