line_number,raw_text,clean_text,confidence
1,م٣ سنة وتطبق الفقرات,م٣ سنة وتطبق الفقرات,0.5031
2,ي بحيث لاتتجاوز الكمية الكلية المستجرة من,ي بحيث لاتتجاوز الكمية الكلية المستجرة من,0.6132
3,تحدد كمية الاستجرار,تحدد كمية الاستجرار,0.6707
4,على كل من يقوم بسحب كمية من المياه تزيد عن كمية المياه,علي كل من يقوم بسحب كمية من المياه تزيد عن كمية المياه,0.8168
5,أءبءجا الواردة في المادة /-٣٦-/ من,اءبءجا الواردة في المادة ٣٦ من,0.4791
6,الواردة في الرخصة .,الواردة في الرخصة,0.6197
7,حفر البئرامادة ٢٦/,حفر البيرامادة ٢٦,0.9442
