case_file_id,dossier_type,document_state,file_name,file_path
009,support,done,Doc 5.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_009/support/Doc 5.JPG
009,support,done,Doc 9.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_009/support/Doc 9.JPG
010,inspection,done,Doc 6.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_010/inspection/Doc 6.JPG
010,licenses,done,Doc 4.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_010/licenses/Doc 4.JPG
010,licenses,done,Doc 5.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_010/licenses/Doc 5.JPG
011,inspection,done,Doc 9.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_011/inspection/Doc 9.JPG
011,licenses,done,Doc 7.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_011/licenses/Doc 7.JPG
011,licenses,done,Doc 8.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_011/licenses/Doc 8.JPG
011,support,done,Doc 1.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_011/support/Doc 1.JPG
011,support,done,Doc 2.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_011/support/Doc 2.JPG
011,support,done,Doc 4.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_011/support/Doc 4.JPG
012,estate,done,Doc 8.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_012/estate/Doc 8.JPG
012,inspection,done,Doc 15.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_012/inspection/Doc 15.JPG
012,licenses,done,Doc 16.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_012/licenses/Doc 16.JPG
012,licenses,done,Doc 17.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_012/licenses/Doc 17.JPG
012,support,done,Doc 1.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_012/support/Doc 1.JPG
012,support,done,Doc 7.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_012/support/Doc 7.JPG
013,estate,done,Doc 1.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_013/estate/Doc 1.JPG
