line_number,raw_text,clean_text,confidence
1,؟٧ ?«٢٧٠٤ ٨٣٦٠ ٢ت٠,؟٧ ٢٧٠٤ ٨٣٦٠ ٢ت٠,0.0328
2,و ٠ ١٢٦ ٠؟٠ ذ,و ٠ ١٢٦ ٠؟٠ ذ,0.1819
3,,,0.0
4,[,,0.2639
5,؟٨,؟٨,0.4108
6,?,,0.1249
7,[5,5,0.9068
