line_number,raw_text,clean_text,confidence
1,إقرار وتعهد,اقرار وتعهد,0.8339
2,.أحمل بطاقة شخصية,احمل بطاقة شخصية,0.4937
3,بج,بج,0.0334
4,9,9,0.8912
5,بن,بن,0.8544
6,أنا الموقع أدناه,انا الموقع ادناه,0.8555
7,السجل المدني جهاجت  . محل رقم القيد .  يا ح دي ببان 50-,السجل المدني جهاجت محل رقم القيد يا ح دي ببان 50,0.0569
