line_number,raw_text,clean_text,confidence
1,إلى من يهمه,الي من يهمه,0.7587
2, عمروا لددرعسسن فضارما دها 8ر,عمروا لددرعسسن فضارما دها 8ر,0.0173
3,نحن مختار قرية الياذدية التابعة لمنطقة صافيتا,نحن مختار قرية الياذدية التابعة لمنطقة صافيتا,0.8796
4,الياذدية العقارية هو عائد,الياذدية العقاررية هو عايد,0.6045
5,/,,0.5653
6,٢٨٣/,٢٨٣,0.5503
7,نصرح ونفيد بأن البئر الارتوازي المحفور في,نصرح ونفيد بان البير الارتوازي المحفور في,0.6869
